,Unnamed: 0,userName,score,at,content,sentiment_label,lower_content,clean_content,tokenized,stemmed,removed_stopwords,replace_slang,final
10,10,Edwin zurin faisal Faisal,1,2024-02-28 15:28:21,"Ini veryfikasinya bisa ga sih pake no wa ? Jgn email aja,masak kirim kode veryf ke email 30x ga ad masuk ? Sampe bolak balik cek alamat email takut salah ,mending buka skck onlinr website aja lagi kalo via app ga jelas kek gini",0,"ini veryfikasinya bisa ga sih pake no wa ? jgn email aja,masak kirim kode veryf ke email 30x ga ad masuk ? sampe bolak balik cek alamat email takut salah ,mending buka skck onlinr website aja lagi kalo via app ga jelas kek gini",ini veryfikasinya bisa ga sih pake no wa   jgn email aja masak kirim kode veryf ke email   x ga ad masuk   sampe bolak balik cek alamat email takut salah  mending buka skck onlinr website aja lagi kalo via app ga jelas kek gini,"['ini', 'veryfikasinya', 'bisa', 'ga', 'sih', 'pake', 'no', 'wa', 'jgn', 'email', 'aja', 'masak', 'kirim', 'kode', 'veryf', 'ke', 'email', 'x', 'ga', 'ad', 'masuk', 'sampe', 'bolak', 'balik', 'cek', 'alamat', 'email', 'takut', 'salah', 'mending', 'buka', 'skck', 'onlinr', 'website', 'aja', 'lagi', 'kalo', 'via', 'app', 'ga', 'jelas', 'kek', 'gini']","['ini', 'veryfikasinya', 'bisa', 'ga', 'sih', 'pake', 'no', 'wa', 'jgn', 'email', 'aja', 'masak', 'kirim', 'kode', 'veryf', 'ke', 'email', 'x', 'ga', 'ad', 'masuk', 'sampe', 'bolak', 'balik', 'cek', 'alamat', 'email', 'takut', 'salah', 'mending', 'buka', 'skck', 'onlinr', 'website', 'aja', 'lagi', 'kalo', 'via', 'app', 'ga', 'jelas', 'kek', 'gini']","['veryfikasinya', 'ga', 'pake', 'no', 'wa', 'jgn', 'email', 'aja', 'masak', 'kirim', 'kode', 'veryf', 'email', 'x', 'ga', 'ad', 'masuk', 'sampe', 'cek', 'alamat', 'email', 'takut', 'salah', 'mending', 'buka', 'onlinr', 'website', 'aja', 'kalo', 'via', 'app', 'ga', 'kek', 'gini']","['verifikasi', 'tidak', 'pakai', 'no', 'wa', 'jangan', 'email', 'saja', 'masak', 'kirim', 'kode', 'verifikasi', 'email', 'kali', 'tidak', 'ada', 'masuk', 'sampai', 'cek', 'alamat', 'email', 'takut', 'salah', 'mending', 'buka', 'onlinr', 'website', 'saja', 'kalau', 'via', 'apa', 'tidak', 'seperti', 'gini']",verifikasi tidak pakai no wa jangan email saja masak kirim kode verifikasi email kali tidak ada masuk sampai cek alamat email takut salah mending buka onlinr website saja kalau via apa tidak seperti gini
11,11,Diki Candra,1,2024-02-28 13:27:15,Apk negara kok eror trus 🔥,0,apk negara kok eror trus 🔥,apk negara kok eror trus  ,"['apk', 'negara', 'kok', 'eror', 'trus']","['apk', 'negara', 'kok', 'eror', 'trus']","['apk', 'negara', 'eror', 'trus']","['aplikasi', 'negara', 'gangguan', 'terus']",aplikasi negara gangguan terus
12,12,vicky kamasi,5,2024-02-28 13:26:46,Pesan verifikasi email ada di spam biasanya,2,pesan verifikasi email ada di spam biasanya,pesan verifikasi email ada di spam biasanya,"['pesan', 'verifikasi', 'email', 'ada', 'di', 'spam', 'biasanya']","['pesan', 'verifikasi', 'email', 'ada', 'di', 'spam', 'biasa']","['pesan', 'verifikasi', 'email', 'spam']","['pesan', 'verifikasi', 'email', 'spam']",pesan verifikasi email spam
13,13,Muhammad Nawawil Zani,1,2024-02-28 12:52:05,"Gabisa Login karena susah dapet kode verifikasinya lewat email,, harusnya tambah opsi",0,"gabisa login karena susah dapet kode verifikasinya lewat email,, harusnya tambah opsi",gabisa login karena susah dapet kode verifikasinya lewat email   harusnya tambah opsi,"['gabisa', 'login', 'karena', 'susah', 'dapet', 'kode', 'verifikasinya', 'lewat', 'email', 'harusnya', 'tambah', 'opsi']","['gabisa', 'login', 'karena', 'susah', 'dapet', 'kode', 'verifikasi', 'lewat', 'email', 'harus', 'tambah', 'opsi']","['gabisa', 'login', 'susah', 'dapet', 'kode', 'verifikasi', 'email', 'opsi']","['tidak', 'bisa', 'masuk', 'sulit', 'dapat', 'kode', 'verifikasi', 'email', 'opsi']",tidak bisa masuk sulit dapat kode verifikasi email opsi
14,14,Tri Setiawan,1,2024-02-28 12:23:03,"Mhon maaf, mau kritik buat kebaikan, bkan menjelekan🙏 Kalo emang niat bkin aplikasi, mesti lebih dimatengin, tim IT mesti lebih pro. Kalo blum siap, gausah publish dlu, mending testing dlu di instansi sendiri ato rekanan. Msak iya skelas intansi pemerintah POLRI bkin apk buat publik kayak remehtemeh gini, tim IT masak iya gaada quality test. Utk tim IT mesti bnyak blajar lagi yah & juga dari instansi POLRI mhon tdk buru2 publish hanya utk ikut2an jaman digital kalo SDM IT blum siap. Semangat 👍",0,"mhon maaf, mau kritik buat kebaikan, bkan menjelekan🙏 kalo emang niat bkin aplikasi, mesti lebih dimatengin, tim it mesti lebih pro. kalo blum siap, gausah publish dlu, mending testing dlu di instansi sendiri ato rekanan. msak iya skelas intansi pemerintah polri bkin apk buat publik kayak remehtemeh gini, tim it masak iya gaada quality test. utk tim it mesti bnyak blajar lagi yah & juga dari instansi polri mhon tdk buru2 publish hanya utk ikut2an jaman digital kalo sdm it blum siap. semangat 👍",mhon maaf  mau kritik buat kebaikan  bkan menjelekan  kalo emang niat bkin aplikasi  mesti lebih dimatengin  tim it mesti lebih pro  kalo blum siap  gausah publish dlu  mending testing dlu di instansi sendiri ato rekanan  msak iya skelas intansi pemerintah polri bkin apk buat publik kayak remehtemeh gini  tim it masak iya gaada quality test  utk tim it mesti bnyak blajar lagi yah   juga dari instansi polri mhon tdk buru  publish hanya utk ikut an jaman digital kalo sdm it blum siap  semangat  ,"['mhon', 'maaf', 'mau', 'kritik', 'buat', 'kebaikan', 'bkan', 'menjelekan', 'kalo', 'emang', 'niat', 'bkin', 'aplikasi', 'mesti', 'lebih', 'dimatengin', 'tim', 'it', 'mesti', 'lebih', 'pro', 'kalo', 'blum', 'siap', 'gausah', 'publish', 'dlu', 'mending', 'testing', 'dlu', 'di', 'instansi', 'sendiri', 'ato', 'rekanan', 'msak', 'iya', 'skelas', 'intansi', 'pemerintah', 'polri', 'bkin', 'apk', 'buat', 'publik', 'kayak', 'remehtemeh', 'gini', 'tim', 'it', 'masak', 'iya', 'gaada', 'quality', 'test', 'utk', 'tim', 'it', 'mesti', 'bnyak', 'blajar', 'lagi', 'yah', 'juga', 'dari', 'instansi', 'polri', 'mhon', 'tdk', 'buru', 'publish', 'hanya', 'utk', 'ikut', 'an', 'jaman', 'digital', 'kalo', 'sdm', 'it', 'blum', 'siap', 'semangat']","['mhon', 'maaf', 'mau', 'kritik', 'buat', 'baik', 'bkan', 'jelek', 'kalo', 'emang', 'niat', 'bkin', 'aplikasi', 'mesti', 'lebih', 'dimatengin', 'tim', 'it', 'mesti', 'lebih', 'pro', 'kalo', 'blum', 'siap', 'gausah', 'publish', 'dlu', 'mending', 'testing', 'dlu', 'di', 'instansi', 'sendiri', 'ato', 'rekan', 'msak', 'iya', 'skelas', 'intansi', 'perintah', 'polri', 'bkin', 'apk', 'buat', 'publik', 'kayak', 'remehtemeh', 'gini', 'tim', 'it', 'masak', 'iya', 'gaada', 'quality', 'test', 'utk', 'tim', 'it', 'mesti', 'bnyak', 'blajar', 'lagi', 'yah', 'juga', 'dari', 'instansi', 'polri', 'mhon', 'tdk', 'buru', 'publish', 'hanya', 'utk', 'ikut', 'an', 'jaman', 'digital', 'kalo', 'sdm', 'it', 'blum', 'siap', 'semangat']","['mhon', 'maaf', 'kritik', 'bkan', 'jelek', 'kalo', 'emang', 'niat', 'bkin', 'aplikasi', 'mesti', 'dimatengin', 'tim', 'mesti', 'pro', 'kalo', 'blum', 'gausah', 'publish', 'dlu', 'mending', 'testing', 'dlu', 'instansi', 'ato', 'rekan', 'msak', 'iya', 'skelas', 'intansi', 'perintah', 'bkin', 'apk', 'publik', 'kayak', 'remehtemeh', 'gini', 'tim', 'masak', 'iya', 'gaada', 'quality', 'test', 'utk', 'tim', 'mesti', 'bnyak', 'blajar', 'yah', 'instansi', 'mhon', 'tdk', 'buru', 'publish', 'utk', 'jaman', 'digital', 'kalo', 'sdm', 'blum', 'semangat']","['mhon', 'maaf', 'kritik', 'bukan', 'jelek', 'kalau', 'memang', 'niat', 'bikin', 'aplikasi', 'mesti', 'dimatengin', 'tim', 'mesti', 'pro', 'kalau', 'belum', 'tidak', 'usah', 'publish', 'dulu', 'mending', 'testing', 'dulu', 'instansi', 'atau', 'rekan', 'msak', 'iya', 'skelas', 'intansi', 'perintah', 'bikin', 'aplikasi', 'publik', 'seperti', 'remehtemeh', 'gini', 'tim', 'masak', 'iya', 'tidak', 'ada', 'quality', 'test', 'untuk', 'tim', 'mesti', 'banyak', 'belajar', 'ya', 'instansi', 'mhon', 'tidak', 'buru', 'publish', 'untuk', 'jaman', 'digital', 'kalau', 'sdm', 'belum', 'semangat']",mhon maaf kritik bukan jelek kalau memang niat bikin aplikasi mesti dimatengin tim mesti pro kalau belum tidak usah publish dulu mending testing dulu instansi atau rekan msak iya skelas intansi perintah bikin aplikasi publik seperti remehtemeh gini tim masak iya tidak ada quality test untuk tim mesti banyak belajar ya instansi mhon tidak buru publish untuk jaman digital kalau sdm belum semangat
15,15,Jhon Andreas,1,2024-02-28 12:14:49,Jelek seperti pada umumnya yang berkaitan dengan polisi full duit,0,jelek seperti pada umumnya yang berkaitan dengan polisi full duit,jelek seperti pada umumnya yang berkaitan dengan polisi full duit,"['jelek', 'seperti', 'pada', 'umumnya', 'yang', 'berkaitan', 'dengan', 'polisi', 'full', 'duit']","['jelek', 'seperti', 'pada', 'umum', 'yang', 'kait', 'dengan', 'polisi', 'full', 'duit']","['jelek', 'kait', 'full', 'duit']","['jelek', 'kait', 'ful', 'duit']",jelek kait ful duit
16,16,Angga Saputra,1,2024-02-28 11:39:05,"Konyol, kode otp ga muncul muncul gimana mau login kalau kayak gini??",0,"konyol, kode otp ga muncul muncul gimana mau login kalau kayak gini??",konyol  kode otp ga muncul muncul gimana mau login kalau kayak gini  ,"['konyol', 'kode', 'otp', 'ga', 'muncul', 'muncul', 'gimana', 'mau', 'login', 'kalau', 'kayak', 'gini']","['konyol', 'kode', 'otp', 'ga', 'muncul', 'muncul', 'gimana', 'mau', 'login', 'kalau', 'kayak', 'gini']","['konyol', 'kode', 'otp', 'ga', 'muncul', 'muncul', 'gimana', 'login', 'kayak', 'gini']","['konyol', 'kode', 'otp', 'tidak', 'muncul', 'muncul', 'bagaimana', 'masuk', 'seperti', 'gini']",konyol kode otp tidak muncul muncul bagaimana masuk seperti gini
17,17,Yafeke Apresia Karisma,5,2024-02-28 11:38:49,"cukup membantu, hanya perlu lebih di perbaiki lagi sistem nya karena lelet sekali dan di perlengkap fiturnya",2,"cukup membantu, hanya perlu lebih di perbaiki lagi sistem nya karena lelet sekali dan di perlengkap fiturnya",cukup membantu  hanya perlu lebih di perbaiki lagi sistem nya karena lelet sekali dan di perlengkap fiturnya,"['cukup', 'membantu', 'hanya', 'perlu', 'lebih', 'di', 'perbaiki', 'lagi', 'sistem', 'nya', 'karena', 'lelet', 'sekali', 'dan', 'di', 'perlengkap', 'fiturnya']","['cukup', 'bantu', 'hanya', 'perlu', 'lebih', 'di', 'baik', 'lagi', 'sistem', 'nya', 'karena', 'lelet', 'sekali', 'dan', 'di', 'lengkap', 'fiturnya']","['bantu', 'sistem', 'lelet', 'lengkap', 'fiturnya']","['bantu', 'sistem', 'lambat', 'bagus', 'fiturnya']",bantu sistem lambat bagus fiturnya
18,18,rokki simanjorang,1,2024-02-28 07:48:09,"Gk bisa daftar,",0,"gk bisa daftar,",gk bisa daftar ,"['gk', 'bisa', 'daftar']","['gk', 'bisa', 'daftar']","['gk', 'daftar']","['tidak', 'daftar']",tidak daftar
19,19,Risna Hapsari,1,2024-02-28 07:33:26,"Saat buat skck untuk kolom keperluan pengajuan tertera keterangan ""layanan tidak tersedia""",0,"saat buat skck untuk kolom keperluan pengajuan tertera keterangan ""layanan tidak tersedia""",saat buat skck untuk kolom keperluan pengajuan tertera keterangan  layanan tidak tersedia ,"['saat', 'buat', 'skck', 'untuk', 'kolom', 'keperluan', 'pengajuan', 'tertera', 'keterangan', 'layanan', 'tidak', 'tersedia']","['saat', 'buat', 'skck', 'untuk', 'kolom', 'perlu', 'aju', 'tera', 'terang', 'layan', 'tidak', 'sedia']","['kolom', 'aju', 'tera', 'terang', 'layan', 'tidak', 'sedia']","['kolom', 'aju', 'tera', 'terang', 'layan', 'tidak', 'sedia']",kolom aju tera terang layan tidak sedia
20,20,Ranti Ka,2,2024-02-28 05:17:16,Gmna mau dftr kalau verifikasi email aja ga masuk² udh d coba ulang ttep aja gk ada yg masuk,0,gmna mau dftr kalau verifikasi email aja ga masuk² udh d coba ulang ttep aja gk ada yg masuk,gmna mau dftr kalau verifikasi email aja ga masuk  udh d coba ulang ttep aja gk ada yg masuk,"['gmna', 'mau', 'dftr', 'kalau', 'verifikasi', 'email', 'aja', 'ga', 'masuk', 'udh', 'd', 'coba', 'ulang', 'ttep', 'aja', 'gk', 'ada', 'yg', 'masuk']","['gmna', 'mau', 'dftr', 'kalau', 'verifikasi', 'email', 'aja', 'ga', 'masuk', 'udh', 'd', 'coba', 'ulang', 'ttep', 'aja', 'gk', 'ada', 'yg', 'masuk']","['gmna', 'dftr', 'verifikasi', 'email', 'aja', 'ga', 'masuk', 'udh', 'coba', 'ulang', 'ttep', 'aja', 'gk', 'yg', 'masuk']","['bagaimana', 'daftar', 'verifikasi', 'email', 'saja', 'tidak', 'masuk', 'sudah', 'coba', 'ulang', 'tetap', 'saja', 'tidak', 'yang', 'masuk']",bagaimana daftar verifikasi email saja tidak masuk sudah coba ulang tetap saja tidak yang masuk
21,21,Ubai,1,2024-02-28 04:46:58,"Untuk kurir tlng di tambah.karena pengiriman tidak sampe rumah.padahal klo pake aplikasi Korlantas polri, perpanjang STNK bisa diantar sampe dpn rmh.tlng jngn di persulit.jngn cuma berusaha,segera perbaiki dong aplikasinya.",0,"untuk kurir tlng di tambah.karena pengiriman tidak sampe rumah.padahal klo pake aplikasi korlantas polri, perpanjang stnk bisa diantar sampe dpn rmh.tlng jngn di persulit.jngn cuma berusaha,segera perbaiki dong aplikasinya.",untuk kurir tlng di tambah karena pengiriman tidak sampe rumah padahal klo pake aplikasi korlantas polri  perpanjang stnk bisa diantar sampe dpn rmh tlng jngn di persulit jngn cuma berusaha segera perbaiki dong aplikasinya ,"['untuk', 'kurir', 'tlng', 'di', 'tambah', 'karena', 'pengiriman', 'tidak', 'sampe', 'rumah', 'padahal', 'klo', 'pake', 'aplikasi', 'korlantas', 'polri', 'perpanjang', 'stnk', 'bisa', 'diantar', 'sampe', 'dpn', 'rmh', 'tlng', 'jngn', 'di', 'persulit', 'jngn', 'cuma', 'berusaha', 'segera', 'perbaiki', 'dong', 'aplikasinya']","['untuk', 'kurir', 'tlng', 'di', 'tambah', 'karena', 'kirim', 'tidak', 'sampe', 'rumah', 'padahal', 'klo', 'pake', 'aplikasi', 'korlantas', 'polri', 'panjang', 'stnk', 'bisa', 'antar', 'sampe', 'dpn', 'rmh', 'tlng', 'jngn', 'di', 'sulit', 'jngn', 'cuma', 'usaha', 'segera', 'baik', 'dong', 'aplikasi']","['kurir', 'tlng', 'kirim', 'tidak', 'sampe', 'rumah', 'klo', 'pake', 'aplikasi', 'sampe', 'dpn', 'rmh', 'tlng', 'jngn', 'sulit', 'jngn', 'usaha', 'aplikasi']","['kurir', 'tlng', 'kirim', 'tidak', 'sampai', 'rumah', 'kalau', 'pakai', 'aplikasi', 'sampai', 'depan', 'rumah', 'tlng', 'jangan', 'sulit', 'jangan', 'usaha', 'aplikasi']",kurir tlng kirim tidak sampai rumah kalau pakai aplikasi sampai depan rumah tlng jangan sulit jangan usaha aplikasi
