,userName,score,at,content
90,Poppy Sophia,1,2024-02-25 03:24:14,"ada baiknya kode verifikasinya ada pilihan lain, WA atau SMS, aplikasinya sangat lemot, kodenya tidak terkirim trus, ini sangat menghambat untuk pembuatan skck"
91,Muhammad Yasin,1,2024-02-24 18:03:59,"Aplikasi aneh, di mintai kode verif tapi tidak di kirim di email. Sangat cocok untuk membantu menyusahkan pengguna"
92,Fathurrohman Ahmad,1,2024-02-24 16:38:34,Aplikasinya mohon diperbaiki. Tidak berfungsi sama sekali
93,Natsu,1,2024-02-24 13:43:22,"Perpanjang SKCK Data sdh di isi, Ujung-ujungnya tetap ke kantor polisi. Kerja dua kali"
94,Mursyid Toari,3,2024-02-24 11:29:18,Susah mendapatkan kode verifikasi
95,Frederikus Hutasoit,1,2024-02-24 10:01:52,Kode verifikasi tidak ada yg masuk udah sampai berulang kali dibuat
96,Ariey Saputhera,1,2024-02-24 08:46:38,"Sangat burikkk.. Intinya gabakal bisa online. 2x pengajuan ditolak mulu dg alasan gamutu. Dan tiap ditolak langsung diarahkan offline terus,, penilaian bintang pd aplikasi sudah jelas. Habis2in uang doang,, mungkin 5th lg baru nyoba, semoga udah siap aplikasi & SDM nya."
97,Kevin,1,2024-02-24 05:46:47,Perbaiki aplikasi nya bos qu verifikasi aja sulit
98,Tazkia Auliya,1,2024-02-24 05:25:24,Gak bisa di pake sama sekali save data aja gak bisa
99,Revana Zaqia,4,2024-02-24 03:49:55,Kaka.. Ku mau buat akun. Tapi susah.. Kode perifikasi tidak masuk2. Kenapa ya...
100,Slyx,1,2024-02-24 03:19:03,"benerin lagi sistemnya gausah sok keren pake aplikasi2, apa apa aplikasi, aplikasi nya aja masih gajelas gini, login gabisa kode verifikasi ga dikirim kirim, orang lagi butuh banget jadi ribet lagi urusannya ."
101,Fidel Harefa,1,2024-02-24 01:52:28,"Saya sangat kecewa, saya urus perpanjang SIM dari tanggal 22 sampai sebulan baru ada Update terbaru, batas reapload sudah habis. Pemberitahuan nya last minute. Refund dana nya kena Potongan, sedangkan hasil nya nehil. Aplikasi ini nambah rumit bukan mempermudah masyarakat sesuai namanya PRESISI, sampai SIM saya expired nunggu pemberitahuan dari pihak mereka. Saya kesal sekali, Kalau udh tau seperti ini hasilnya saya paksain cuti buat ngurus di polres terdekat. Alhasil SIM A DAN C nya expired.👍"
102,Supriadi,2,2024-02-24 01:41:56,"Aplikasi masih perlu banyak perbaikan , Masih susah untuk pengisian data yg berulang ulang"
103,Rdy Themovie,1,2024-02-24 01:29:01,Aplikasi sangat buruk lemot gk jelas
104,Indra Tech,1,2024-02-23 20:07:16,"waktu meminta otp via email tidak ada balasan pesan di email saya, padahal alamat email sudah benar"
105,Ade Pangestu,1,2024-02-23 16:56:50,Setelah saya menginstal app ini ternyata ga ada gunanya
106,ivan maulana,1,2024-02-23 15:45:42,Sudah masukan email tapi tidak dapat kode Verifikasi
107,Angga Ardianto,1,2024-02-23 14:52:59,PERBAIKI!!!
108,Andika Nopiyono,4,2024-02-23 13:44:48,Cukup membantu selebihnya nunggu penyempurnaan lebih lanjut lagi
109,Ahmad Herdiansyah,1,2024-02-23 13:38:19,"Aplikasi yang merepotkan bukan malah membantu, malah bikin repot mending kayak dulu lagi pake web ajh,katanya IT nya jago polisi tuh tapi kek mna ini bikin sistem ajh gak bisa 👎👎👎"
110,Raihan Alif,1,2024-02-23 13:24:22,Kacaw ini apk bikin emosi udah minta verifikasi baru tapi ga masuk gmail
111,Kafirun Yang sholehah,1,2024-02-23 11:24:23,Kinerja aplikasinya jelek sama kaya di realita
112,Slamet Hermanto,1,2024-02-23 09:15:15,Udah seharian nungguin kode verifikasi nggak muncul muncul
113,Kevin Claireno,1,2024-02-23 08:39:22,OTP SUSAH ASTAGA MIN
114,Muhammad Sidik,1,2024-02-23 08:31:24,Online itu mempermudah bukan mempersulit 🥴 verifikasi kode aja ga bisa apa lagi yang lain
115,ahmad andri sudarmawan,1,2024-02-23 08:21:24,Aplikasi nya buruk gk guna gk berfungsi masa mau login sudah masukan email tapi gk dapat² kode verifikasi aplikasi nya lemottttt. Bukan nya mempermudah malah mempersusah trus guna nya aplikasi ini apaan coba
116,Dani Alfi,2,2024-02-23 07:48:26,Apps yang belum layak untuk menangani masalah publik. Harus lebih di kembangkan dan lebih memudahkan masyarakat
117,Deni Saputro,1,2024-02-23 07:33:33,Aplikasi mengalami kendala waktu mau daftar tolong di perbaiki
118,Heksa Bustomi Hadad,1,2024-02-23 05:59:01,kode verifikasi tidak terkirim ke email
119,Synta Islamiyah,1,2024-02-23 04:52:13,Memang gk bisa dipercaya apk apa-apaan ini bilang untuk bantuan kok malah sulit untuk masuk login ....toloooooong diperbaiki apk ini
120,firdaus jtc,5,2024-02-23 04:33:29,bagus
121,Dio Xide,1,2024-02-23 04:09:07,bapuk bet mau verif email ae kagak bisa udh nyoba tiap hari tapi kode email kagak masuk²
122,Daffa cemmong Cemmong,1,2024-02-23 03:45:01,Orang orang butuh aplikasi ini loh. Tapi kenapa otp sangat sulit. Hidup kami sudah sulit jangan dibikin sulit kembali. Mohon kerjasamanya karena tidak semua orang bisa menggunakan aplikasi. Terimakasih
123,obet potong,1,2024-02-23 03:25:35,"Waktu daftar akun, pengiriman verifikasi kode lama sekali. Bahkan sampai sekarang belum muncul kodenya. Sebagai pelayan dan penganyom masyarakat agar ditingkatkan lagi pelayanannya"
124,Sultan27 27,1,2024-02-23 03:04:17,Aplikasinya masih sering bermasalah
125,Alief,1,2024-02-23 02:59:01,"Aplikasi sangat bagus dan berguna, bagi kadal"
126,Saidun Fdr18,1,2024-02-23 02:53:07,Kenapa tidak bisa mendapat verivikasi masih bisa di pakek kah ini apk
127,teguh ginanjar,1,2024-02-23 02:09:00,Kalau belum siap digitalisasi mending jangan bikin apk gada guna malah mempersulit pelayanan.
128,Chairany Fadilah,1,2024-02-23 02:01:23,"Aneh banget aplikasinya, ngisi identitas belum selesai tp ktny nik ud terdftar, sdgkn mau lanjut thap brkutny hrus ngisi nik dll tp gbsa krn nik ud trdftr ktny, aneh, dan lg ud dtg ke polres mlh dsruh lwt aplikasi ini, tp ga memuaskan, mohon diperbaiki aplikasinya y! Masyarakat mw cepet mlh jd lambat"
129,Muhammad Noval,1,2024-02-23 01:32:58,Percuma kagak usah dipake apk ini daftar aja dipersulit ada aplikasi kayak gini bukan nya mempermudah malah mempersulit
130,La Yudi,1,2024-02-23 01:29:09,mohon di perbaiki ya untuk aplikasi dan sistem nya agak bekerja lebih baik karna masih banyak kekurangan dari mulai daftar akun dan login.....karna tidak bisa buat daftar akun mohon di konfirmasi dan update untuk apk nya agar bisa bekerja dengan lebih baik lagi
131,Regina Melati Genika,1,2024-02-23 01:05:05,Gak bisa masuk krna verifiksi email gk bisa terkirim dari aplikasi
132,Tri Sunani,2,2024-02-23 01:00:03,Kenapa tidak bisa untuk melengkapi data selalu gagal terus
133,Rizky Suharyandhika,1,2024-02-23 00:45:32,Percuma bikin ini app. Mending hapus aja
134,fahmi fachruddin,1,2024-02-23 00:45:27,Gabisa login verifikasi kode email nya lambat selalu gabisa masuk
135,Arista Hafid,1,2024-02-23 00:19:24,Mau daftar ga dikirim2 kode nya ke email untuk verifikasi
136,Muhammad Yusril,1,2024-02-23 00:12:59,Untuk verifikasi tidak masuk di email
137,Shu Surya,5,2024-02-22 19:55:52,Maaf Mau nanya apakah aplikasi ini masih bisa di gunakan atau tidak.. Saya daftar kok susah ya.. Gak ada verif otp nya..
138,biillal Noe,1,2024-02-22 18:31:58,"Kurang maksimal, banyak error"
139,Diwana Fikri Aghniya,1,2024-02-22 17:27:53,Sudah gagal verifikasi hingga lebih dari 20 kali.
140,Nata Ms,1,2024-02-22 16:32:36,LEBIH 50x ngirim verifikasi email tp gak satupun masuk ?!
141,Anggi Nugraha,1,2024-02-22 16:09:08,Jelek banget ngga bisa dibuka apk nya
142,dicky muhamad,1,2024-02-22 13:48:45,Ini aplikasi gak jelas sebenarnya udh siap online gak sh
143,Rifqi Abdillah,1,2024-02-22 13:46:38,"Aplikasi tidak berguna, sampah. Aplikasi berjalan lancar, pembayaran juga aman. Hal yang menjadi masalah adalah saat ke polres untuk pembuatan SKCK, semuanya tetap dilakukan secara offline, ambil karcis lagi, tetap disuruh bawa fotokopi dokumen dan foto yang sangat banyak, dan yang lebih lucu disuruh bawa print screenshoot email bukti pendaftaran SKCK pakai aplikasi presisi ini. Pengalaman terburuk menggunakan aplikasi online, kocak, dan sangat menggelitik. Aplikasi anda belum siap digunakan."
144,Xxyyygun,1,2024-02-22 12:53:02,"Tolong dong min diperbaiki aplikasi ini banyak banget kekurangan terutama banyak eror nya, saya sangat butuh aplikasi ini buat mengurus segala keperluan terutama membuat skck"
145,Kang Komar,5,2024-02-22 12:41:31,"bintang 5 karena worth banget , cuma saya salah pilih satpas aja dri bandung ke soreang 2 jam haha"
146,Icha Friska,2,2024-02-22 12:41:05,Verifikasi emailnya tidak bisa
147,Nabila Nasya Annisa,1,2024-02-22 12:05:44,"Lemot bngtt,saya lupa sandi mau ubah sandi kode otp nya gamasuk² di gmail,sampe bikin email baru ttp aja lemot gabisa,dari pagi sampe mlm blom bisa login"
148,Hasbi aby,5,2024-02-22 11:46:39,Ok
149,Cahyanti Savitri,5,2024-02-22 11:27:16,Ini bisa di pakai di seluruh indonesia gak ?
150,dee Cii,1,2024-02-22 10:05:13,Nda bisa buat akun
151,Mhd. Irfan,1,2024-02-22 09:42:13,"Buat pendaftar baru email verifikasinya tidak masuk ke email, sudah ditungguin berjam jam. Padahal saya mau mengurus SKCK yg KTP saya luar daerah, makanya ngurus secara online."
152,Syukron Halifah,5,2024-02-22 08:52:02,Bagus cepet and aman
153,Hilal Abdullah,1,2024-02-22 07:33:45,"Aplikasi ga solutif. Ada solusi untuk pengambilan SKCK oleh keluarga satu KK di dalam aplikasinya. ketika pengambilan, dokumen sudah sesuai yang tertulis pada aplikasi. Tetapi ditolak oleh polres karena tidak ada FOTOKOPI sidik jari. Mohon beri informasi yang jelas pada aplikasi. Informasi dari SuperApp nya tidak presisi"
154,toar yosua,1,2024-02-22 07:32:07,Aplikasi tidak berguna. Antara Belum bisa menguasai sistem pengembang atau emang cuma ngambil untung dari pengguna yang mendownload dan meggunakan aplikasi
155,Maesaroh,1,2024-02-22 07:08:08,"Ada baiknya POLRI sebagai instansi yang memang berkaitan dengan aplikasi ini, mempersiapkan SDM nya untuk berkembang seiring kemajuan teknologi. Percuma mengisi semua data secara daring, kalo endingnya ngisi data secara manual. Gunanya berkas yang di upload daring juga buat apa? Gunanya aplikasi daring kalo endingnya tetap disuruh membuat di Polsek sesuai alamat KTP apa? Kalo aturan bisa disesuaikan dengan kondisi dan situasi, terlebih sudah ada instrumennya, harusnya lebih cepat dan relevan."
156,Ega Aditya,2,2024-02-22 05:41:14,gadapat kode verifikasi gimana mau masuknya coba
157,Septi Ulfadiati,1,2024-02-22 05:40:31,Tidak bisa mengirim kode email
158,starla gaming,3,2024-02-22 04:57:17,"Perlu di update lagi, verivikasi email ga muncul. jadi membuang waktu semasa mau perpanjang skck"
159,Bambang Maarif,1,2024-02-22 04:50:18,Apk bukanya mempermudah malah mempersulit mau daftar aja gak bisa bisa
160,Alfakhry 13,2,2024-02-22 04:27:11,"Perbaiki lagi penanganan masih labat, respon ke email lama masih banyak yg di perbaiki, udah bayar tanda verifikasi buat ajuan blm muncul mucul berasa di tipu tolong di perbaiki lagi"
161,yoga sumantri,1,2024-02-22 04:19:16,"tolong sistemnya diperbaiki bobrok bgt,ingin daftar malah stuck di verifikasi email hadeh bukan mempermudah malah mempersulit pembuatan SKCK"
162,Yassindya Salwa,1,2024-02-22 03:40:52,"app tidak berfungsi sama sekali, sudah submit data lengkap utk pembuatan SKCK tetapi kolom terakhir tentang verifikasi kebenaran tidak bisa dicentang, tidak membantu."
163,ageng oktaviantoro,1,2024-02-22 02:35:36,"mau verifikasi data susah bener, nama sudah diinput sesuai KTP malah disuruh cek ulang"
164,Irvan Ery Joy,1,2024-02-22 02:23:40,"aplikasi ga guna , tolong ya buat aparat kepolisian yg terhormat, kalo ini emang ga bergua ga usah di luncurin apk nya , mau buat skck , tetap waktu pengambilan harus ngurus seperti biasa, katanya bisa di wakilkan tapi nyatanya ga bisa, saya di luar daerah makanya minta di wakilkan , tetapi pihak terkait bilang ga bisa , di tembak aja katanya supaya dapat duit ya? wkwkwkw"
165,Dian Rosita,1,2024-02-22 01:52:24,"Kagak bisa login cuuyyy. Kode verifikasi ga nongol2. Udah 2jam nungguin juga, hadooohh. Bikin aplikasi model begini budget berapa sih emang?"
166,sstrwb,1,2024-02-22 00:57:42,BURUK!
167,Lukman Nur Hakim,1,2024-02-22 00:42:20,Ini gimma verifikasi nya ga pernah muncul padahal hp normal² aja coba ngirim email juga ke kirim
168,Yuni Dwi Prihartanti,1,2024-02-22 00:29:33,"Aplikasi aneh, mau daftar tp ga dikasih kode OTP"
169,Darwinsyah Hariru,1,2024-02-21 21:52:02,Mempersulit proses LEMOTTTTTTTT
170,krisna darmawan,1,2024-02-21 11:42:25,"minta kode verifikasi buat daftar aja ga bisa2,trus gunanya aplikasi ini buat apaan"
171,Imam Fauzi,1,2024-02-21 11:38:24,Banyak masalah pending dalam aplikasi ini
